Task: 3, Test Name: Product size label is displayed, DOM Id: STRONG____90, Browser: Edge, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Product quantity label is displayed, DOM Id: STRONG____100, Browser: Edge, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Add to cart' button is displayed, DOM Id: A__btn__114, Browser: Edge, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test Name: Product title is displayed, DOM Id: shoe_name, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product image is displayed, DOM Id: shoe_img, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product rating is displayed, DOM Id: SPAN__rating__76, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product sku is displayed, DOM Id: SMALL____84, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product description is displayed, DOM Id: P____83, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product size label is displayed, DOM Id: STRONG____90, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product quantity label is displayed, DOM Id: STRONG____100, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Add to cart' button is displayed, DOM Id: A__btn__114, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product title is displayed, DOM Id: shoe_name, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product image is displayed, DOM Id: shoe_img, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product rating is displayed, DOM Id: SPAN__rating__76, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product sku is displayed, DOM Id: SMALL____84, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product description is displayed, DOM Id: P____83, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product size label is displayed, DOM Id: STRONG____90, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product quantity label is displayed, DOM Id: STRONG____100, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Add to cart' button is displayed, DOM Id: A__btn__114, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product title is displayed, DOM Id: shoe_name, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product image is displayed, DOM Id: shoe_img, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product rating is displayed, DOM Id: SPAN__rating__76, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product sku is displayed, DOM Id: SMALL____84, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product description is displayed, DOM Id: P____83, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product size label is displayed, DOM Id: STRONG____90, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product quantity label is displayed, DOM Id: STRONG____100, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Add to cart' button is displayed, DOM Id: A__btn__114, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product title is displayed, DOM Id: shoe_name, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 3, Test Name: Product image is displayed, DOM Id: shoe_img, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 3, Test Name: Product rating is displayed, DOM Id: SPAN__rating__76, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 3, Test Name: Product sku is displayed, DOM Id: SMALL____84, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 3, Test Name: Product description is displayed, DOM Id: P____83, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 3, Test Name: Product size label is displayed, DOM Id: STRONG____90, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 3, Test Name: Product quantity label is displayed, DOM Id: STRONG____100, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 3, Test Name: Add to cart' button is displayed, DOM Id: A__btn__114, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
